[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: disabled_hints, near line: 193
" in file: "" near line: 193
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: focus_on_combat, near line: 194
" in file: "" near line: 197
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: hints, near line: 198
" in file: "" near line: 201
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: lasthost, near line: 202
" in file: "" near line: 205
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: lastplayer, near line: 206
" in file: "" near line: 209
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: pause_on_events, near line: 210
" in file: "" near line: 213
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: radialstaytime, near line: 214
" in file: "" near line: 217
[19:53:43][pdx_parser_helpers.h:34]: Error: "Unexpected token: windowmovetime, near line: 218
